TempoDoDia;Densidade;Assortatividade;Clusterizacao;GrauMedio
25201.0;0.0009;0.9134;0.6704;10.0
25202.0;0.0009;0.9156;0.6659;10.0
25203.0;0.0009;0.9169;0.6676;10.0
25204.0;0.0009;0.9168;0.6692;10.0
25205.0;0.0009;0.9187;0.6703;9.0
25206.0;0.0009;0.9193;0.6678;9.0
25207.0;0.0009;0.9188;0.6646;9.0
25208.0;0.0009;0.9175;0.6643;9.0
25209.0;0.0009;0.9179;0.6579;9.0
25210.0;0.0009;0.9183;0.653;9.0
25211.0;0.0009;0.9191;0.6551;9.0
25212.0;0.0009;0.9204;0.6539;9.0
25213.0;0.0009;0.9196;0.6543;9.0
25214.0;0.0009;0.9206;0.6566;9.0
25215.0;0.0009;0.9214;0.6538;9.0
25216.0;0.0009;0.9225;0.655;9.0
25217.0;0.0009;0.9248;0.6627;9.0
25218.0;0.0009;0.9255;0.6595;9.0
25219.0;0.0009;0.9266;0.6583;9.0
25220.0;0.0009;0.9264;0.6594;9.0
25221.0;0.0009;0.9261;0.6598;9.0
25222.0;0.0009;0.9256;0.6586;9.0
25223.0;0.0009;0.924;0.6573;9.0
25224.0;0.0009;0.9238;0.6563;9.0
25225.0;0.0009;0.925;0.6541;9.0
25226.0;0.0009;0.9252;0.6579;9.0
25227.0;0.0009;0.9256;0.6601;9.0
25228.0;0.0009;0.9251;0.6621;9.0
25229.0;0.0009;0.9248;0.6653;9.0
25230.0;0.0009;0.9231;0.6663;9.0
25231.0;0.0009;0.9225;0.6669;9.0
25232.0;0.0009;0.9229;0.6726;9.0
25233.0;0.0009;0.9244;0.6724;9.0
25234.0;0.0009;0.9255;0.6739;9.0
25235.0;0.0009;0.9228;0.6735;9.0
25236.0;0.0009;0.9208;0.6728;9.0
25237.0;0.0009;0.9199;0.6703;9.0
25238.0;0.0009;0.9207;0.6672;9.0
25239.0;0.0009;0.9213;0.6676;9.0
25240.0;0.0009;0.9236;0.6688;9.0
28202.0;0.0012;0.9091;0.687;13.0
28203.0;0.0012;0.91;0.6863;13.0
28204.0;0.0012;0.9095;0.6879;13.0
28205.0;0.0012;0.9095;0.6911;13.0
28206.0;0.0012;0.9105;0.6931;13.0
28207.0;0.0012;0.9098;0.6919;13.0
28208.0;0.0012;0.9093;0.6968;13.0
28209.0;0.0012;0.9107;0.6979;13.0
28210.0;0.0012;0.9094;0.6976;13.0
28211.0;0.0012;0.9094;0.6917;13.0
28212.0;0.0012;0.9101;0.6937;13.0
28213.0;0.0012;0.9099;0.6942;13.0
28214.0;0.0012;0.9086;0.6929;13.0
28215.0;0.0012;0.9096;0.6925;13.0
28216.0;0.0013;0.9094;0.6911;13.0
28217.0;0.0012;0.9094;0.6901;13.0
28218.0;0.0012;0.9085;0.6924;13.0
28219.0;0.0013;0.9077;0.6902;13.0
