Tempo;Densidade;Assortatividade;Clusterizacao;Grau_medio;Numero_de_arestas;Numero_de_vertices
3900.0;1.0;nan;0.0;1.0;1;2
3960.0;1.0;nan;0.0;1.0;1;2
4020.0;0.2;nan;0.0;1.0;3;6
4080.0;0.2;nan;0.0;1.0;3;6
4140.0;0.3333;nan;0.0;1.0;2;4
4200.0;0.6667;-1.0;0.0;1.0;2;3
4260.0;0.3333;nan;0.0;1.0;2;4
4320.0;1.0;nan;0.0;1.0;1;2
4380.0;1.0;nan;0.0;1.0;1;2
4440.0;1.0;nan;0.0;1.0;1;2
4500.0;0.3333;nan;0.0;1.0;2;4
4560.0;1.0;nan;0.0;1.0;1;2
4620.0;1.0;nan;0.0;1.0;1;2
4680.0;1.0;nan;0.0;1.0;1;2
4860.0;1.0;nan;0.0;1.0;1;2
4980.0;1.0;nan;0.0;1.0;1;2
5520.0;1.0;nan;0.0;1.0;1;2
5760.0;1.0;nan;0.0;1.0;1;2
5820.0;1.0;nan;0.0;1.0;1;2
5940.0;1.0;nan;0.0;1.0;1;2
6360.0;1.0;nan;0.0;1.0;1;2
6660.0;1.0;nan;0.0;1.0;1;2
8760.0;1.0;nan;0.0;1.0;1;2
9720.0;1.0;nan;0.0;1.0;1;2
9840.0;1.0;nan;0.0;1.0;1;2
9960.0;1.0;nan;0.0;1.0;1;2
10020.0;0.6667;-1.0;0.0;1.0;2;3
10080.0;1.0;nan;0.0;1.0;1;2
10320.0;1.0;nan;0.0;1.0;1;2
10860.0;1.0;nan;0.0;1.0;1;2
10920.0;1.0;nan;0.0;1.0;1;2
10980.0;1.0;nan;0.0;1.0;1;2
11520.0;1.0;nan;0.0;1.0;1;2
12660.0;1.0;nan;0.0;1.0;1;2
12900.0;1.0;nan;0.0;1.0;1;2
12960.0;1.0;nan;0.0;1.0;1;2
13020.0;0.3333;nan;0.0;1.0;2;4
13080.0;1.0;nan;0.0;1.0;1;2
13140.0;1.0;nan;0.0;1.0;1;2
13200.0;0.1111;nan;0.0;1.0;5;10
13260.0;0.3333;nan;0.0;1.0;2;4
13320.0;0.3333;nan;0.0;1.0;2;4
13380.0;0.2;nan;0.0;1.0;3;6
13440.0;1.0;nan;0.0;1.0;1;2
13560.0;1.0;nan;0.0;1.0;1;2
13620.0;1.0;nan;0.0;1.0;1;2
13680.0;1.0;nan;0.0;1.0;1;2
13740.0;0.3333;nan;0.0;1.0;2;4
13800.0;0.2;nan;0.0;1.0;3;6
13860.0;0.2;nan;0.0;1.0;3;6
13920.0;0.1905;-0.3333;0.0;1.0;4;7
13980.0;0.1111;nan;0.0;1.0;5;10
14040.0;0.0769;nan;0.0;1.0;7;14
14100.0;0.0762;-0.1429;0.0;1.0;8;15
14160.0;0.0735;1.0;0.1765;1.0;10;17
14220.0;0.1111;nan;0.0;1.0;5;10
14280.0;0.0897;-0.1667;0.0;1.0;7;13
14340.0;0.1091;-0.2;0.0;1.0;6;11
14400.0;0.0667;nan;0.0;1.0;8;16
14460.0;0.0571;1.0;0.1429;1.0;12;21
14520.0;0.0467;0.1515;0.0;1.0;14;25
14580.0;0.0423;-0.3333;0.0;1.0;16;28
14640.0;0.0667;nan;0.0;1.0;8;16
14700.0;0.1111;nan;0.0;1.0;5;10
14760.0;0.3333;nan;0.0;1.0;2;4
14820.0;0.0879;-0.3333;0.0;1.0;8;14
14880.0;0.0719;0.6071;0.1667;1.0;11;18
14940.0;0.0632;-0.5;0.0;1.0;12;20
15000.0;0.0588;nan;0.0;1.0;9;18
15060.0;0.0879;-0.3333;0.0;1.0;8;14
15120.0;0.0667;nan;0.0;1.0;8;16
15180.0;0.0667;nan;0.0;1.0;8;16
15240.0;0.0526;nan;0.0;1.0;10;20
15300.0;0.0471;-0.1818;0.0;1.0;13;24
15360.0;0.0353;0.1429;0.0857;1.0;21;35
15420.0;0.0414;-0.2366;0.0;1.0;18;30
15480.0;0.0264;0.5614;0.0;1.0;25;44
15540.0;0.027;-0.0526;0.0;1.0;20;39
15600.0;0.0263;0.218;0.0667;1.0;26;45
15660.0;0.0255;-0.15;0.0;1.0;23;43
15720.0;0.0299;0.5291;0.0775;1.0;27;43
15780.0;0.02;0.5141;0.0517;1.0;33;58
15840.0;0.0357;0.3377;0.0686;1.0;20;34
15900.0;0.0227;-0.1299;0.0;1.0;29;51
15960.0;0.0241;0.5676;0.0321;1.0;32;52
16020.0;0.0363;0.0357;0.0;1.0;18;32
16080.0;0.0271;-0.1365;0.0652;1.0;28;46
16140.0;0.0369;-0.0714;0.0;1.0;15;29
16200.0;0.037;0.172;0.0857;1.0;22;35
16260.0;0.0471;-0.1818;0.0;1.0;13;24
16320.0;0.0339;-0.1969;0.0;1.0;19;34
16380.0;0.0341;-0.2;0.0;1.0;18;33
16440.0;0.0431;-0.1667;0.0;1.0;14;26
16500.0;0.0337;0.3506;0.1538;1.0;25;39
16560.0;0.0249;0.7519;0.2308;1.0;33;52
16620.0;0.0222;0.3101;0.0;1.0;42;62
16680.0;0.0296;0.6154;0.1439;1.0;28;44
16740.0;0.022;0.679;0.1556;1.0;39;60
16800.0;0.0183;0.7081;0.1739;1.0;43;69
16860.0;0.018;-0.1684;0.0;1.0;34;62
16920.0;0.0155;0.7098;0.0875;1.0;49;80
16980.0;0.0147;0.0941;0.0385;1.0;44;78
17040.0;0.0181;0.506;0.1221;1.0;45;71
17100.0;0.0101;0.2538;0.0526;1.0;65;114
17160.0;0.0146;0.42;0.0341;1.0;56;88
17220.0;0.014;0.8044;0.1441;1.0;64;96
17280.0;0.0128;0.3369;0.1212;1.0;62;99
17340.0;0.0107;-0.1309;0.0937;1.0;78;121
17400.0;0.0106;0.6929;0.0747;1.0;92;132
17460.0;0.0143;0.5052;0.0688;1.0;60;92
17520.0;0.0109;0.2147;0.1028;1.0;78;120
17580.0;0.0102;0.1705;0.0495;1.0;83;128
17640.0;0.0097;0.4515;0.174;1.0;89;136
17700.0;0.0108;0.3552;0.0812;1.0;71;115
17760.0;0.0113;0.5454;0.1975;1.0;102;135
17820.0;0.0112;0.6017;0.0848;1.0;75;116
17880.0;0.0092;0.6036;0.0847;1.0;107;153
17940.0;0.0103;0.232;0.0859;1.0;89;132
18000.0;0.0095;0.3646;0.0702;1.0;92;140
18060.0;0.0093;0.4534;0.1343;1.0;89;139
18120.0;0.0083;0.3844;0.0937;1.0;96;153
18180.0;0.0071;0.474;0.1623;1.0;126;189
18240.0;0.0071;0.6072;0.102;1.0;146;204
18300.0;0.0065;0.6975;0.1441;1.0;129;199
18360.0;0.0063;0.4997;0.143;1.0;139;211
18420.0;0.0057;0.5962;0.1057;1.0;161;238
18480.0;0.0072;0.6995;0.2128;1.0;177;222
18540.0;0.0056;0.4341;0.1625;1.0;162;242
18600.0;0.0054;0.6727;0.1927;1.0;199;273
18660.0;0.0052;0.6515;0.1444;1.0;189;270
18720.0;0.0043;0.463;0.1395;1.0;214;317
18780.0;0.0047;0.7301;0.2267;1.0;269;340
18840.0;0.0039;0.4676;0.1271;1.0;238;350
18900.0;0.0037;0.593;0.2072;1.0;320;415
18960.0;0.0027;0.5935;0.128;1.0;371;523
19020.0;0.0026;0.6224;0.1433;1.0;408;557
19080.0;0.0026;0.4707;0.188;1.0;442;585
19140.0;0.0025;0.5989;0.2594;1.0;559;673
19200.0;0.0023;0.8183;0.2343;1.0;626;731
19260.0;0.0026;0.7612;0.2572;1.0;647;706
19320.0;0.0021;0.5733;0.2354;1.0;638;771
19380.0;0.0026;0.6939;0.2301;1.0;636;695
19440.0;0.0028;0.6653;0.3027;1.0;631;670
19500.0;0.0026;0.329;0.2382;1.0;583;667
19560.0;0.003;0.6369;0.1933;1.0;512;589
19620.0;0.0025;0.6983;0.2568;1.0;548;668
19680.0;0.0025;0.5679;0.2467;1.0;549;663
19740.0;0.0025;0.687;0.2809;1.0;710;756
19800.0;0.002;0.6653;0.2867;1.0;748;858
19860.0;0.0023;0.8372;0.3183;1.0;815;843
19920.0;0.002;0.7294;0.3101;1.0;902;942
19980.0;0.0018;0.6066;0.2762;1.0;973;1032
20040.0;0.0017;0.5547;0.2793;1.0;1000;1079
20100.0;0.0016;0.6883;0.2792;1.0;1181;1211
20160.0;0.0017;0.7423;0.2772;2.0;1265;1229
20220.0;0.0015;0.6686;0.2685;1.0;1274;1290
20280.0;0.0016;0.7024;0.3143;2.0;1336;1275
20340.0;0.0016;0.7906;0.3257;2.0;1462;1356
